PO_Number,Supplier,Category,Country,PO_Date,Promised_Delivery,Actual_Delivery,Quantity,Unit_Cost,Total_Cost
PO-0242,Solis Inc,Electronics,Germany,2023-09-04,2023-12-01,2023-12-04,379,38.5,14591.5
PO-0243,Koch Group,Packaging,China,2024-06-22,2024-09-14,2024-09-20,409,437.3,178855.7
PO-0244,Smith-Carey,Electronics,Mexico,2023-02-14,2023-04-19,2023-04-20,817,38.44,31405.48
PO-0245,Henry-Lee,Food & Beverage,Vietnam,2023-09-04,2023-10-02,2023-10-16,55,179.39,9866.45
PO-0246,Hawkins Inc,Raw Materials,Brazil,2023-12-13,2024-01-19,2024-02-04,196,406.69,79711.24
PO-0247,Elliott and Sons,Apparel,China,2023-03-06,2023-05-18,2023-05-09,820,103.74,85066.8
PO-0248,Elliott and Sons,Packaging,India,2023-02-12,2023-04-08,2023-04-27,844,273.8,231087.2
PO-0249,Maynard-Mitchell,Food & Beverage,Mexico,2023-09-17,2023-10-06,2023-10-20,892,391.52,349235.84
PO-0250,Palmer-Flores,Food & Beverage,India,2024-11-02,2024-12-29,2024-12-27,920,203.01,186769.2
PO-0251,Solis Inc,Raw Materials,Brazil,2024-03-26,2024-05-29,2024-05-29,519,186.84,96969.96
PO-0252,Smith-Wood,Raw Materials,China,2024-06-15,2024-08-03,2024-08-18,450,303.21,136444.5
PO-0253,Reid-Meadows,Electronics,China,2023-07-04,2023-09-26,2023-09-25,345,332.16,114595.2
PO-0254,"Mills, Hayes and Jackson",Apparel,Brazil,2023-11-10,2024-01-21,2024-01-30,464,179.02,83065.28
PO-0255,"Mills, Hayes and Jackson",Food & Beverage,Brazil,2023-02-13,2023-04-14,2023-04-23,820,474.21,388852.2
PO-0256,Koch Group,Apparel,China,2023-03-18,2023-05-23,2023-05-24,156,425.09,66314.04
PO-0257,Wright-Fields,Electronics,Vietnam,2024-11-25,2025-02-04,2025-01-26,807,324.36,261758.52
PO-0258,Henry-Lee,Electronics,Germany,2024-01-06,2024-03-10,2024-03-30,167,341.14,56970.38
PO-0259,Smith-Wood,Packaging,Vietnam,2024-01-15,2024-03-17,2024-03-21,552,186.64,103025.28
PO-0260,Palmer-Flores,Electronics,Brazil,2023-11-18,2024-01-07,2024-01-04,200,252.03,50406.0
PO-0261,Smith-Carey,Food & Beverage,Brazil,2024-02-01,2024-04-27,2024-04-20,466,111.21,51823.86
PO-0262,Rose Ltd,Apparel,China,2024-09-18,2024-11-08,2024-11-20,148,427.15,63218.2
PO-0263,Hawkins Inc,Electronics,Brazil,2024-04-07,2024-05-14,2024-06-01,1000,423.53,423530.0
PO-0264,Smith-Wood,Packaging,Germany,2023-11-24,2024-01-22,2024-02-03,307,446.21,136986.47
PO-0265,Bean-Smith,Packaging,Vietnam,2023-06-11,2023-07-18,2023-08-02,134,492.64,66013.76
PO-0266,Rose Ltd,Electronics,Mexico,2023-05-23,2023-07-07,2023-07-22,577,288.28,166337.56
PO-0267,Wright Ltd,Electronics,China,2024-04-23,2024-07-17,2024-07-11,326,202.09,65881.34
PO-0268,"Mills, Hayes and Jackson",Packaging,China,2024-05-05,2024-07-26,2024-07-29,138,486.33,67113.54
PO-0269,Hawkins Inc,Packaging,Mexico,2024-10-19,2024-11-12,2024-11-16,141,439.59,61982.19
PO-0270,Wright-Fields,Raw Materials,Germany,2024-07-18,2024-10-16,2024-10-11,942,434.76,409543.92
PO-0271,Elliott and Sons,Apparel,Vietnam,2023-05-08,2023-07-28,2023-07-22,340,467.7,159018.0
PO-0272,Koch Group,Food & Beverage,China,2023-08-19,2023-10-17,2023-11-06,266,102.17,27177.22
PO-0273,Elliott and Sons,Packaging,Germany,2024-07-18,2024-09-06,2024-08-31,105,253.77,26645.85
PO-0274,Henry-Lee,Apparel,Vietnam,2023-06-22,2023-09-20,2023-10-10,684,314.12,214858.08
PO-0275,Henry-Lee,Electronics,China,2024-09-11,2024-11-08,2024-11-24,93,27.5,2557.5
PO-0276,Maynard-Mitchell,Packaging,India,2024-10-18,2025-01-14,2025-01-12,642,321.3,206274.6
PO-0277,Elliott and Sons,Raw Materials,Vietnam,2024-05-24,2024-08-16,2024-08-15,834,404.64,337469.76
PO-0278,Smith-Wood,Electronics,Vietnam,2024-02-20,2024-04-13,2024-04-17,460,210.73,96935.8
PO-0279,Wright Ltd,Apparel,Mexico,2024-04-20,2024-05-31,2024-05-31,892,360.59,321646.28
PO-0280,Bean-Smith,Packaging,Germany,2023-12-20,2024-02-24,2024-02-18,118,162.96,19229.28
PO-0281,Hawkins Inc,Apparel,Vietnam,2024-04-22,2024-05-22,2024-05-20,109,30.05,3275.45
PO-0282,Solis Inc,Food & Beverage,Germany,2024-01-29,2024-04-06,2024-04-03,748,159.79,119522.92
PO-0283,Hawkins Inc,Raw Materials,Mexico,2023-06-13,2023-08-30,2023-09-05,519,16.47,8547.93
PO-0284,"Evans, Johnson and Blevins",Apparel,Germany,2024-02-07,2024-04-26,2024-04-30,371,29.09,10792.39
PO-0285,Rose Ltd,Food & Beverage,Germany,2023-10-16,2024-01-02,2024-01-11,18,424.35,7638.3
PO-0286,Smith-Carey,Food & Beverage,India,2024-03-17,2024-04-18,2024-05-06,384,27.39,10517.76
PO-0287,Maynard-Mitchell,Food & Beverage,Germany,2023-02-22,2023-05-20,2023-05-27,305,41.4,12627.0
PO-0288,Gaines-Olsen,Food & Beverage,Germany,2024-05-31,2024-08-11,2024-08-25,706,307.47,217073.82
PO-0289,Bean-Smith,Food & Beverage,Germany,2023-05-12,2023-06-08,2023-06-10,971,185.98,180586.58
PO-0290,Koch Group,Raw Materials,Germany,2023-05-28,2023-07-07,2023-07-16,51,27.43,1398.93
PO-0291,Rose Ltd,Packaging,India,2023-05-21,2023-07-17,2023-08-01,162,305.1,49426.2
PO-0292,Wright Ltd,Food & Beverage,Vietnam,2024-06-11,2024-07-13,2024-07-13,412,495.35,204084.2
PO-0293,Koch Group,Packaging,Germany,2023-11-03,2024-02-01,2024-02-01,511,355.83,181829.13
PO-0294,Cline-Dixon,Food & Beverage,Mexico,2023-11-03,2024-01-17,2024-02-02,699,59.25,41415.75
PO-0295,Cline-Dixon,Packaging,India,2024-03-02,2024-05-30,2024-05-29,281,483.7,135919.7
PO-0296,"Long, Singh and Guzman",Packaging,India,2024-08-15,2024-11-11,2024-11-08,184,264.5,48668.0
PO-0297,"Evans, Johnson and Blevins",Electronics,Germany,2024-09-26,2024-11-28,2024-11-22,980,351.76,344724.8
PO-0298,Reid-Meadows,Raw Materials,Vietnam,2023-07-15,2023-08-01,2023-08-05,432,346.8,149817.6
PO-0299,Wright Ltd,Raw Materials,Brazil,2024-02-25,2024-05-14,2024-05-28,754,35.83,27015.82
PO-0300,Gaines-Olsen,Food & Beverage,Brazil,2023-05-22,2023-08-11,2023-08-07,499,265.11,132289.89
PO-0301,Gaines-Olsen,Food & Beverage,Germany,2023-11-18,2023-12-25,2023-12-29,372,339.55,126312.6
PO-0302,Rose Ltd,Apparel,Vietnam,2024-11-28,2025-01-15,2025-01-24,295,281.25,82968.75
PO-0303,Elliott and Sons,Apparel,Brazil,2023-08-19,2023-10-11,2023-10-25,731,247.06,180600.86
PO-0304,Smith-Carey,Food & Beverage,China,2024-05-06,2024-07-04,2024-07-11,597,339.93,202938.21
PO-0305,Bean-Smith,Apparel,Mexico,2024-01-24,2024-03-29,2024-04-14,53,147.38,7811.14
PO-0306,Hawkins Inc,Food & Beverage,Brazil,2023-03-22,2023-05-20,2023-06-08,500,110.92,55460.0
PO-0307,Gaines-Olsen,Food & Beverage,Vietnam,2024-07-05,2024-08-23,2024-09-11,121,309.76,37480.96
PO-0308,"Long, Singh and Guzman",Packaging,Vietnam,2024-08-23,2024-10-07,2024-10-04,663,120.25,79725.75
PO-0309,Rose Ltd,Electronics,Brazil,2023-04-13,2023-06-19,2023-06-19,799,73.05,58366.95
PO-0310,Rose Ltd,Raw Materials,Brazil,2024-07-17,2024-08-21,2024-08-24,214,379.18,81144.52
PO-0311,"Long, Singh and Guzman",Electronics,Brazil,2023-10-22,2023-12-17,2023-12-16,597,119.95,71610.15
PO-0312,Solis Inc,Electronics,India,2023-02-08,2023-03-17,2023-03-20,816,250.22,204179.52
PO-0313,Elliott and Sons,Packaging,Germany,2023-10-24,2023-11-12,2023-11-02,119,464.59,55286.21
PO-0314,Gaines-Olsen,Packaging,India,2023-12-10,2024-01-30,2024-02-03,920,469.59,432022.8
PO-0315,Maynard-Mitchell,Electronics,Mexico,2024-05-31,2024-08-13,2024-08-11,176,366.9,64574.4
PO-0316,Solis Inc,Electronics,Brazil,2024-10-25,2024-12-11,2024-12-23,355,396.43,140732.65
PO-0317,Wright Ltd,Raw Materials,India,2024-08-04,2024-09-12,2024-09-07,537,167.32,89850.84
PO-0318,Wright-Fields,Raw Materials,Mexico,2024-02-15,2024-03-13,2024-03-08,968,127.78,123691.04
PO-0319,Hawkins Inc,Food & Beverage,Mexico,2023-09-25,2023-11-28,2023-11-25,319,293.32,93569.08
PO-0320,Bean-Smith,Apparel,China,2024-08-09,2024-08-25,2024-08-23,693,63.52,44019.36
PO-0321,Koch Group,Food & Beverage,Brazil,2023-11-11,2023-12-16,2023-12-18,130,321.16,41750.8
PO-0322,"Evans, Johnson and Blevins",Apparel,Vietnam,2023-10-30,2023-12-31,2024-01-09,499,80.83,40334.17
PO-0323,Gaines-Olsen,Raw Materials,Germany,2024-09-12,2024-11-13,2024-11-16,831,333.73,277329.63
PO-0324,Wright Ltd,Electronics,Germany,2023-08-12,2023-09-27,2023-10-08,467,266.45,124432.15
PO-0325,Henry-Lee,Electronics,China,2024-01-06,2024-01-30,2024-02-18,858,276.09,236885.22
PO-0326,Gaines-Olsen,Apparel,Vietnam,2024-06-01,2024-07-11,2024-07-19,345,427.97,147649.65
PO-0327,Maynard-Mitchell,Packaging,India,2024-03-28,2024-04-26,2024-05-07,103,449.95,46344.85
PO-0328,Wright-Fields,Packaging,India,2024-04-01,2024-04-23,2024-04-27,477,284.14,135534.78
PO-0329,Elliott and Sons,Electronics,India,2024-07-26,2024-10-08,2024-10-19,270,409.14,110467.8
PO-0330,"Long, Singh and Guzman",Raw Materials,Mexico,2023-08-12,2023-11-09,2023-11-01,727,36.56,26579.12
PO-0331,Rose Ltd,Electronics,Mexico,2023-03-03,2023-03-26,2023-04-14,428,94.09,40270.52
PO-0332,"James, Hill and Yoder",Raw Materials,India,2023-05-19,2023-07-26,2023-07-27,394,44.72,17619.68
PO-0333,Bean-Smith,Electronics,Vietnam,2024-11-08,2025-01-31,2025-01-25,560,199.56,111753.6
PO-0334,Cline-Dixon,Electronics,Mexico,2023-05-11,2023-06-23,2023-07-09,484,338.38,163775.92
PO-0335,"James, Hill and Yoder",Apparel,Vietnam,2024-07-11,2024-09-18,2024-09-25,481,176.35,84824.35
PO-0336,Palmer-Flores,Electronics,Brazil,2023-10-10,2023-11-18,2023-12-07,439,309.39,135822.21
PO-0337,Smith-Wood,Electronics,Germany,2023-01-17,2023-03-03,2023-02-27,44,225.99,9943.56
PO-0338,"Long, Singh and Guzman",Raw Materials,India,2024-11-19,2024-12-10,2024-12-07,249,272.18,67772.82
PO-0339,Elliott and Sons,Apparel,Brazil,2023-02-27,2023-03-31,2023-04-06,599,162.86,97553.14
PO-0340,Elliott and Sons,Apparel,Brazil,2024-09-04,2024-10-30,2024-10-27,543,114.42,62130.06
PO-0341,Gaines-Olsen,Packaging,Brazil,2023-11-04,2023-12-24,2023-12-15,943,91.69,86463.67
PO-0342,Rose Ltd,Electronics,Mexico,2024-11-26,2025-02-03,2025-02-10,974,323.44,315030.56
PO-0343,"Mills, Hayes and Jackson",Raw Materials,Vietnam,2024-01-26,2024-04-17,2024-04-17,317,191.35,60657.95
PO-0344,"Evans, Johnson and Blevins",Food & Beverage,Brazil,2024-07-04,2024-09-17,2024-09-14,157,403.86,63406.02
PO-0345,"Mills, Hayes and Jackson",Packaging,Germany,2023-03-01,2023-05-26,2023-05-29,147,197.27,28998.69
PO-0346,Smith-Wood,Raw Materials,Mexico,2023-09-19,2023-10-30,2023-10-30,104,270.14,28094.56
PO-0347,"James, Hill and Yoder",Packaging,Germany,2023-07-15,2023-08-05,2023-08-03,50,437.44,21872.0
PO-0348,Gaines-Olsen,Apparel,India,2023-07-12,2023-10-10,2023-10-23,223,435.39,97091.97
PO-0349,Cline-Dixon,Apparel,Vietnam,2023-12-07,2024-01-29,2024-02-18,995,372.03,370169.85
PO-0350,Wright Ltd,Apparel,India,2024-05-05,2024-06-20,2024-07-02,947,123.47,116926.09
PO-0351,Hawkins Inc,Packaging,Brazil,2023-11-26,2024-01-16,2024-01-18,377,157.67,59441.59
PO-0352,Rose Ltd,Raw Materials,China,2024-01-04,2024-03-24,2024-04-11,832,490.75,408304.0
PO-0353,Maynard-Mitchell,Food & Beverage,Mexico,2024-04-25,2024-06-19,2024-07-08,433,27.63,11963.79
PO-0354,Smith-Carey,Packaging,Germany,2023-08-15,2023-09-17,2023-09-07,603,361.41,217930.23
PO-0355,Reid-Meadows,Apparel,India,2023-10-30,2023-12-03,2023-11-29,593,417.51,247583.43
PO-0356,Reid-Meadows,Food & Beverage,India,2024-05-26,2024-08-19,2024-08-29,999,363.16,362796.84
PO-0357,Bean-Smith,Apparel,Vietnam,2024-05-17,2024-07-29,2024-07-24,747,275.54,205828.38
PO-0358,"Long, Singh and Guzman",Packaging,China,2023-07-08,2023-09-30,2023-10-10,869,424.12,368560.28
PO-0359,Cline-Dixon,Raw Materials,Vietnam,2024-11-15,2024-12-06,2024-12-20,872,317.2,276598.4
PO-0360,Maynard-Mitchell,Packaging,India,2023-03-11,2023-04-14,2023-04-04,392,34.92,13688.64
PO-0361,Rose Ltd,Electronics,China,2024-10-15,2024-12-30,2025-01-10,554,278.06,154045.24
PO-0362,Smith-Carey,Packaging,Mexico,2023-01-13,2023-01-30,2023-02-05,27,253.6,6847.2
PO-0363,Solis Inc,Electronics,China,2024-12-15,2025-02-23,2025-03-10,546,78.7,42970.2
PO-0364,Bean-Smith,Food & Beverage,India,2023-07-16,2023-10-06,2023-10-04,90,189.66,17069.4
PO-0365,"Evans, Johnson and Blevins",Apparel,Mexico,2024-02-20,2024-05-03,2024-05-11,710,414.89,294571.9
PO-0366,"James, Hill and Yoder",Raw Materials,India,2023-03-24,2023-04-12,2023-04-04,575,240.62,138356.5
PO-0367,Solis Inc,Electronics,India,2024-10-14,2024-10-30,2024-11-11,875,219.79,192316.25
PO-0368,Palmer-Flores,Packaging,China,2023-12-06,2024-03-02,2024-03-19,245,109.65,26864.25
PO-0369,Smith-Carey,Electronics,China,2024-12-09,2025-03-06,2025-03-11,710,463.16,328843.6
PO-0370,"Long, Singh and Guzman",Apparel,Mexico,2024-07-10,2024-10-05,2024-10-16,26,480.93,12504.18
PO-0371,"James, Hill and Yoder",Electronics,Mexico,2024-08-24,2024-09-26,2024-10-10,176,284.16,50012.16
PO-0372,Gaines-Olsen,Food & Beverage,India,2024-08-03,2024-10-06,2024-10-17,783,371.17,290626.11
PO-0373,Bean-Smith,Electronics,China,2024-12-06,2024-12-31,2025-01-06,457,119.91,54798.87
PO-0374,Wright Ltd,Packaging,India,2023-03-19,2023-05-16,2023-05-25,802,166.56,133581.12
PO-0375,Hawkins Inc,Raw Materials,Vietnam,2024-10-11,2024-11-29,2024-12-14,374,278.75,104252.5
PO-0376,Henry-Lee,Raw Materials,China,2024-01-20,2024-03-30,2024-03-25,800,311.21,248968.0
PO-0377,Smith-Carey,Apparel,India,2023-09-10,2023-10-04,2023-09-26,738,393.03,290056.14
PO-0378,Bean-Smith,Electronics,China,2023-06-07,2023-08-10,2023-08-10,15,471.77,7076.55
PO-0379,Smith-Carey,Electronics,Vietnam,2024-03-31,2024-05-31,2024-06-14,99,97.76,9678.24
PO-0380,Koch Group,Raw Materials,China,2024-04-04,2024-06-29,2024-07-06,36,49.36,1776.96
PO-0381,Wright Ltd,Food & Beverage,India,2024-07-21,2024-08-16,2024-08-25,22,149.46,3288.12
PO-0382,Gaines-Olsen,Apparel,Germany,2024-02-02,2024-02-27,2024-03-11,543,88.94,48294.42
PO-0383,Smith-Carey,Food & Beverage,Mexico,2024-01-25,2024-03-01,2024-02-24,514,77.24,39701.36
PO-0384,"Mills, Hayes and Jackson",Food & Beverage,India,2023-06-21,2023-08-30,2023-08-28,811,43.08,34937.88
PO-0385,Rose Ltd,Packaging,Germany,2023-09-15,2023-10-31,2023-11-13,210,231.64,48644.4
PO-0386,"James, Hill and Yoder",Food & Beverage,Germany,2023-05-19,2023-07-11,2023-07-01,399,403.02,160804.98
PO-0387,"Mills, Hayes and Jackson",Packaging,Vietnam,2023-12-04,2024-02-13,2024-02-13,317,163.73,51902.41
PO-0388,Reid-Meadows,Apparel,India,2024-12-12,2025-01-21,2025-01-26,336,149.27,50154.72
PO-0389,Henry-Lee,Apparel,Mexico,2024-12-12,2025-02-27,2025-03-19,395,143.75,56781.25
PO-0390,Henry-Lee,Apparel,Germany,2024-02-07,2024-04-08,2024-04-01,568,94.06,53426.08
PO-0391,Hawkins Inc,Apparel,India,2024-07-17,2024-08-04,2024-08-24,826,149.21,123247.46
PO-0392,"Mills, Hayes and Jackson",Raw Materials,Vietnam,2024-12-10,2025-01-02,2025-01-18,658,154.9,101924.2
PO-0393,"Mills, Hayes and Jackson",Raw Materials,China,2023-09-16,2023-10-20,2023-11-01,469,495.4,232342.6
PO-0394,Gaines-Olsen,Packaging,Brazil,2024-05-05,2024-08-02,2024-08-04,438,274.1,120055.8
PO-0395,Smith-Wood,Electronics,Vietnam,2024-01-04,2024-03-27,2024-04-05,683,334.02,228135.66
PO-0396,"James, Hill and Yoder",Food & Beverage,India,2023-06-20,2023-07-10,2023-07-18,118,10.22,1205.96
PO-0397,Koch Group,Packaging,Germany,2023-09-22,2023-11-04,2023-11-10,714,289.74,206874.36
PO-0398,Hawkins Inc,Packaging,Brazil,2024-04-01,2024-06-02,2024-06-04,522,79.62,41561.64
PO-0399,Elliott and Sons,Raw Materials,China,2023-01-26,2023-04-12,2023-04-05,128,416.5,53312.0
PO-0400,Reid-Meadows,Raw Materials,Vietnam,2023-05-26,2023-07-24,2023-07-23,543,244.05,132519.15
PO-0401,Hawkins Inc,Food & Beverage,China,2024-05-02,2024-05-29,2024-06-02,317,27.12,8597.04
PO-0402,Reid-Meadows,Electronics,Brazil,2024-12-28,2025-01-26,2025-01-16,829,86.36,71592.44
PO-0403,Gaines-Olsen,Apparel,Mexico,2023-09-07,2023-11-27,2023-11-22,583,216.05,125957.15
PO-0404,"James, Hill and Yoder",Apparel,Vietnam,2024-04-18,2024-06-01,2024-06-16,665,330.37,219696.05
PO-0405,Wright Ltd,Apparel,India,2024-02-10,2024-02-28,2024-03-12,616,217.63,134060.08
PO-0406,Smith-Carey,Electronics,Germany,2023-01-05,2023-02-16,2023-02-12,114,400.75,45685.5
PO-0407,Reid-Meadows,Apparel,India,2024-07-03,2024-08-10,2024-08-11,126,134.86,16992.36
PO-0408,Reid-Meadows,Packaging,India,2024-05-16,2024-08-06,2024-08-26,635,199.31,126561.85
PO-0409,Hawkins Inc,Packaging,Vietnam,2023-04-27,2023-06-25,2023-06-26,843,338.43,285296.49
PO-0410,Wright-Fields,Food & Beverage,China,2023-11-01,2024-01-30,2024-01-22,254,156.16,39664.64
PO-0411,Wright-Fields,Packaging,India,2023-07-07,2023-09-07,2023-09-19,438,300.23,131500.74
PO-0412,Solis Inc,Raw Materials,Brazil,2024-08-11,2024-10-14,2024-10-17,560,348.25,195020.0
PO-0413,Solis Inc,Raw Materials,Mexico,2024-10-22,2024-11-28,2024-12-05,153,97.61,14934.33
PO-0414,Bean-Smith,Electronics,India,2024-04-06,2024-04-27,2024-05-14,149,101.59,15136.91
PO-0415,Rose Ltd,Raw Materials,Brazil,2024-01-29,2024-04-24,2024-04-30,513,210.74,108109.62
PO-0416,Smith-Wood,Packaging,China,2024-03-30,2024-06-15,2024-06-10,824,381.72,314537.28
PO-0417,"Evans, Johnson and Blevins",Packaging,Mexico,2023-10-27,2023-11-15,2023-11-13,182,391.47,71247.54
PO-0418,Koch Group,Electronics,Germany,2024-08-02,2024-10-19,2024-10-26,126,137.61,17338.86
PO-0419,"Long, Singh and Guzman",Raw Materials,Germany,2024-07-10,2024-09-09,2024-09-16,233,494.94,115321.02
PO-0420,"Long, Singh and Guzman",Raw Materials,Mexico,2023-04-15,2023-05-31,2023-05-30,366,431.79,158035.14
PO-0421,Palmer-Flores,Apparel,Vietnam,2023-03-31,2023-06-10,2023-06-27,840,370.12,310900.8
PO-0422,Wright Ltd,Raw Materials,Vietnam,2024-12-06,2025-02-03,2025-02-20,640,73.92,47308.8
PO-0423,"Long, Singh and Guzman",Packaging,Mexico,2023-07-31,2023-09-10,2023-09-25,555,144.14,79997.7
PO-0424,Elliott and Sons,Food & Beverage,Germany,2024-07-05,2024-08-10,2024-08-10,283,476.44,134832.52
PO-0425,"Mills, Hayes and Jackson",Electronics,Mexico,2024-06-10,2024-07-07,2024-07-01,897,329.67,295713.99
PO-0426,Wright-Fields,Food & Beverage,Vietnam,2024-12-19,2025-01-19,2025-01-16,789,422.56,333399.84
PO-0427,Henry-Lee,Food & Beverage,Brazil,2024-02-07,2024-04-24,2024-04-18,434,190.71,82768.14
PO-0428,Koch Group,Food & Beverage,Brazil,2023-03-19,2023-04-14,2023-04-16,968,439.27,425213.36
PO-0429,Henry-Lee,Electronics,Brazil,2024-04-10,2024-06-26,2024-06-26,105,366.81,38515.05
PO-0430,Smith-Wood,Packaging,India,2024-04-14,2024-06-13,2024-06-30,233,484.22,112823.26
PO-0431,Reid-Meadows,Food & Beverage,Mexico,2023-08-05,2023-10-22,2023-10-20,570,291.08,165915.6
PO-0432,Reid-Meadows,Electronics,China,2024-08-02,2024-10-18,2024-11-02,111,314.96,34960.56
PO-0433,Solis Inc,Raw Materials,India,2024-04-15,2024-05-02,2024-04-25,10,495.96,4959.6
PO-0434,Wright-Fields,Food & Beverage,Vietnam,2024-03-14,2024-04-23,2024-05-05,905,466.7,422363.5
PO-0435,Bean-Smith,Food & Beverage,China,2023-10-08,2023-11-03,2023-11-13,390,333.93,130232.7
PO-0436,"James, Hill and Yoder",Food & Beverage,Brazil,2024-10-26,2024-12-01,2024-11-22,726,378.84,275037.84
PO-0437,Palmer-Flores,Electronics,Vietnam,2024-03-15,2024-04-10,2024-04-22,498,43.58,21702.84
PO-0438,Hawkins Inc,Electronics,China,2024-08-30,2024-10-12,2024-10-18,722,175.07,126400.54
PO-0439,Wright-Fields,Raw Materials,China,2023-05-04,2023-07-12,2023-07-24,244,194.62,47487.28
PO-0440,Bean-Smith,Food & Beverage,Vietnam,2023-04-15,2023-05-13,2023-05-13,401,387.86,155531.86
PO-0441,Koch Group,Packaging,China,2023-05-17,2023-06-19,2023-06-11,634,326.76,207165.84
PO-0442,Maynard-Mitchell,Apparel,India,2024-03-26,2024-05-24,2024-06-06,640,344.85,220704.0
PO-0443,Palmer-Flores,Apparel,China,2023-08-11,2023-09-06,2023-09-24,613,366.35,224572.55
PO-0444,Wright-Fields,Apparel,Mexico,2023-12-26,2024-03-04,2024-03-04,670,46.7,31289.0
PO-0445,Cline-Dixon,Food & Beverage,Vietnam,2024-07-20,2024-09-09,2024-09-23,540,305.43,164932.2
PO-0446,"Long, Singh and Guzman",Apparel,India,2023-07-13,2023-09-16,2023-09-15,405,60.81,24628.05
PO-0447,Cline-Dixon,Food & Beverage,Mexico,2024-05-26,2024-06-19,2024-06-25,145,196.48,28489.6
PO-0448,Gaines-Olsen,Apparel,India,2024-08-05,2024-10-12,2024-10-13,987,493.75,487331.25
PO-0449,Smith-Wood,Electronics,Mexico,2023-03-16,2023-04-02,2023-04-10,230,24.71,5683.3
PO-0450,Elliott and Sons,Packaging,India,2023-03-03,2023-05-07,2023-05-13,443,352.4,156113.2
PO-0451,Wright Ltd,Apparel,Mexico,2023-03-26,2023-06-17,2023-06-24,95,158.4,15048.0
PO-0452,Wright-Fields,Packaging,Mexico,2024-06-07,2024-07-18,2024-08-02,410,295.29,121068.9
PO-0453,"Mills, Hayes and Jackson",Apparel,China,2024-10-27,2024-11-19,2024-11-18,260,47.68,12396.8
PO-0454,Wright Ltd,Packaging,China,2024-03-20,2024-04-18,2024-04-22,326,334.71,109115.46
PO-0455,Cline-Dixon,Apparel,Brazil,2024-11-04,2024-12-11,2024-12-04,21,86.1,1808.1
PO-0456,Smith-Carey,Apparel,Mexico,2023-12-22,2024-03-12,2024-03-18,139,376.14,52283.46
PO-0457,Cline-Dixon,Food & Beverage,India,2023-10-03,2023-11-02,2023-11-16,288,264.31,76121.28
PO-0458,Smith-Wood,Raw Materials,India,2023-09-27,2023-12-24,2024-01-03,533,183.26,97677.58
PO-0459,Bean-Smith,Apparel,Mexico,2024-05-26,2024-08-21,2024-08-16,801,55.94,44807.94
PO-0460,Koch Group,Electronics,China,2024-08-10,2024-09-08,2024-09-05,889,432.15,384181.35
PO-0461,Bean-Smith,Raw Materials,Vietnam,2023-09-08,2023-09-28,2023-10-03,193,465.92,89922.56
PO-0462,"Mills, Hayes and Jackson",Apparel,Mexico,2023-02-06,2023-05-02,2023-05-17,264,211.05,55717.2
PO-0463,Smith-Wood,Packaging,Mexico,2023-11-24,2024-01-12,2024-01-28,132,253.51,33463.32
PO-0464,Koch Group,Electronics,India,2023-02-23,2023-04-01,2023-03-29,80,439.11,35128.8
PO-0465,Smith-Wood,Packaging,India,2023-10-17,2023-12-10,2023-12-10,18,187.62,3377.16
PO-0466,Elliott and Sons,Packaging,Vietnam,2023-10-26,2024-01-21,2024-02-05,485,187.3,90840.5
PO-0467,Gaines-Olsen,Apparel,Vietnam,2024-05-20,2024-06-29,2024-07-12,16,466.54,7464.64
PO-0468,Bean-Smith,Electronics,Mexico,2023-01-25,2023-03-10,2023-03-17,11,380.67,4187.37
PO-0469,Maynard-Mitchell,Packaging,Vietnam,2024-01-21,2024-03-15,2024-03-08,439,248.55,109113.45
PO-0470,Smith-Carey,Electronics,China,2023-03-03,2023-04-05,2023-04-17,953,119.58,113959.74
PO-0471,Bean-Smith,Raw Materials,Brazil,2024-06-16,2024-08-22,2024-09-03,96,292.48,28078.08
PO-0472,"James, Hill and Yoder",Electronics,Germany,2024-06-01,2024-07-03,2024-07-13,591,35.83,21175.53
PO-0473,Elliott and Sons,Food & Beverage,Mexico,2024-11-09,2024-12-10,2024-12-07,958,401.4,384541.2
PO-0474,Hawkins Inc,Food & Beverage,Vietnam,2024-12-18,2025-02-12,2025-02-12,86,472.06,40597.16
PO-0475,Wright-Fields,Electronics,Vietnam,2023-05-20,2023-08-17,2023-08-10,470,235.7,110779.0
PO-0476,Bean-Smith,Apparel,India,2024-02-21,2024-03-22,2024-03-29,325,234.36,76167.0
PO-0477,Elliott and Sons,Packaging,China,2023-05-03,2023-05-29,2023-05-24,230,418.78,96319.4
PO-0478,"Evans, Johnson and Blevins",Food & Beverage,India,2023-12-02,2024-01-04,2023-12-27,535,29.23,15638.05
PO-0479,Solis Inc,Electronics,India,2023-11-03,2023-12-21,2024-01-06,885,228.84,202523.4
PO-0480,Hawkins Inc,Electronics,Vietnam,2024-07-17,2024-09-01,2024-08-25,134,10.92,1463.28
PO-0481,"James, Hill and Yoder",Food & Beverage,Brazil,2023-08-16,2023-09-16,2023-09-12,655,469.1,307260.5
PO-0482,Smith-Carey,Electronics,China,2023-03-28,2023-06-25,2023-07-03,76,102.89,7819.64
PO-0483,Wright-Fields,Electronics,Mexico,2024-10-23,2025-01-02,2025-01-17,135,26.13,3527.55
PO-0484,Henry-Lee,Raw Materials,Brazil,2024-04-17,2024-05-08,2024-05-03,414,250.58,103740.12
